Date P PET Q
1948-09-20 3.5 2.905 0.2121
1948-09-21 16.91 2.871 0.2198
1948-09-22 0.24 2.837 0.3166
1948-09-23 0 2.803 0.4195
1948-09-24 0 2.769 0.4487
1948-09-25 0 2.734 0.4395
1948-09-26 0 2.7 0.3535
1948-09-27 0 2.666 0.2828
1948-09-28 1.75 2.631 0.2751
1948-09-29 4.99 2.597 0.2582
1948-09-30 12.32 2.563 0.292
1948-10-01 0.68 2.528 0.3442
1948-10-02 0 2.494 0.4395
1948-10-03 0.19 2.46 0.501
1948-10-04 3.42 2.426 0.4195
1948-10-05 54.13 2.392 0.4795
1948-10-06 1.69 2.358 1.0204
1948-10-07 0.67 2.324 1.506
1948-10-08 5.56 2.29 1.798
1948-10-09 0 2.256 1.7365
1948-10-10 0.1 2.222 1.506
1948-10-11 0.28 2.189 1.0204
1948-10-12 0 2.155 0.7269
1948-10-13 0.57 2.122 0.5886
1948-10-14 0.14 2.089 0.5333
1948-10-15 0.01 2.056 0.4795
1948-10-16 1.15 2.023 0.4395
1948-10-17 2.2 1.99 0.4088
1948-10-18 11.64 1.958 0.4195
1948-10-19 0 1.925 0.501
1948-10-20 0 1.893 0.5548
1948-10-21 0 1.861 0.5655
1948-10-22 2.73 1.83 0.544
1948-10-23 9.45 1.798 0.501
1948-10-24 0.21 1.767 0.6577
1948-10-25 0.15 1.736 0.7991
1948-10-26 0 1.706 0.8483
1948-10-27 0 1.675 0.7038
1948-10-28 0 1.645 0.5886
1948-10-29 0 1.615 0.5333
1948-10-30 0.04 1.586 0.4902
1948-10-31 0.06 1.557 0.4702
1948-11-01 0.29 1.528 0.4595
1948-11-02 1.18 1.499 0.4702
1948-11-03 3.83 1.471 0.4487
1948-11-04 0.83 1.443 0.4702
1948-11-05 0.6 1.416 0.4902
1948-11-06 13.05 1.388 0.501
1948-11-07 2.22 1.361 0.5655
1948-11-08 0.51 1.335 0.6347
1948-11-09 1.62 1.309 0.5778
1948-11-10 3.97 1.283 0.6577
1948-11-11 0.02 1.258 0.7038
1948-11-12 0.3 1.233 0.6347
1948-11-13 4.47 1.209 0.6116
1948-11-14 0 1.185 0.6347
1948-11-15 0 1.161 0.6116
1948-11-16 0.04 1.138 0.5886
1948-11-17 3.57 1.115 0.5778
1948-11-18 0 1.093 0.5886
1948-11-19 7.78 1.071 0.5655
1948-11-20 0.67 1.049 0.5548
1948-11-21 0.07 1.028 0.5548
1948-11-22 4.2 1.008 0.5548
1948-11-23 4.79 0.988 0.6116
1948-11-24 14.56 0.968 0.7269
1948-11-25 7.11 0.949 0.9958
1948-11-26 1.24 0.931 1.2939
1948-11-27 18.75 0.913 0.8975
1948-11-28 26.13 0.895 1.629
1948-11-29 8.48 0.878 1.9517
1948-11-30 0 0.862 2.3973
1948-12-01 0.03 0.846 2.6739
1948-12-02 0 0.83 2.7969
1948-12-03 50.37 0.815 3.3194
1948-12-04 17.46 0.801 3.3962
1948-12-05 0.08 0.787 4.6102
1948-12-06 0.11 0.774 4.8869
1948-12-07 0.04 0.761 8.7595
1948-12-08 0.01 0.749 11.0185
1948-12-09 0.02 0.737 9.2205
1948-12-10 0.01 0.726 6.5773
1948-12-11 0.23 0.715 4.518
1948-12-12 0.39 0.705 3.1196
1948-12-13 0 0.696 2.2898
1948-12-14 1.44 0.687 1.8287
1948-12-15 18.81 0.679 1.5675
1948-12-16 4.96 0.671 1.5982
1948-12-17 1.27 0.664 1.7365
1948-12-18 0 0.657 1.9517
1948-12-19 13.36 0.651 2.0592
1948-12-20 0.05 0.646 2.2898
1948-12-21 0 0.641 2.4434
1948-12-22 0 0.637 2.4434
1948-12-23 0 0.633 2.3359
1948-12-24 0 0.63 2.1975
1948-12-25 0.95 0.628 1.9824
1948-12-26 0 0.626 1.6904
1948-12-27 0.04 0.625 1.4445
1948-12-28 0.04 0.624 1.2663
1948-12-29 8.14 0.624 1.1833
1948-12-30 32.72 0.624 1.4445
1948-12-31 0.04 0.625 2.1053
1949-01-01 0.18 0.62 2.5049
1949-01-02 0.27 0.629 2.6125
1949-01-03 2.82 0.632 2.8583
1949-01-04 1.56 0.635 3.3962
